CaseMasterID,CrimeNo,UnitID,DistrictID,CaseCategoryID,CrimeHeadID,CrimeSubHeadID,GravityOffenceID,CrimeRegisteredDate,CrimeRegisteredTime,OccurrenceFromDate,OccurrenceToDate,Latitude,Longitude,PlaceOfOffence,BriefFacts,IOEmployeeID,CaseStatus,Active
1140,100291003202100001,366,29,1,4,13,3,2021-11-01,13:19,2021-10-31,2021-11-01,16.953501,75.39401,"the vegetable market, Vijayapura","The complainant used the ATM kiosk at the sugar factory road at Town, Vijayapura. Subsequently an amount of Rs 308,000 was withdrawn from his account in 6 transactions without his knowledge. It appears the accused installed a skimming device and captured the card data.",2264,Chargesheeted,Y
1141,100041007202100001,53,4,1,4,13,3,2021-11-12,18:20,2021-11-11,2021-11-12,13.046158,77.272189,"the sugar factory road, Bengaluru Urban","ದೂರುದಾರರು the bus stand at Jayanagar, Bengaluru Urban ನಲ್ಲಿನ ಎಟಿಎಂ ಬಳಸಿದ್ದು, ನಂತರ ಅವರ ಖಾತೆಯಿಂದ ರೂ 384,000 ಹಣ ಅವರ ಅರಿವಿಲ್ಲದೆ ವರ್ಗಾವಣೆಯಾಗಿರುತ್ತದೆ.",300,Chargesheeted,Y
1142,100081001202300001,93,8,1,4,13,3,2023-05-06,10:23,2023-05-05,2023-05-06,13.506198,78.149398,"the sugar factory road, Chikkaballapur","Unknown accused obtained the card details of the complainant and made online transactions totalling Rs 439,000. The complainant had used his card last at Town, Chikkaballapur.",552,Under Investigation,Y
1143,100041006202400010,52,4,1,2,10,3,2024-06-17,03:33,2024-06-16,2024-06-17,13.281662,77.617531,"the petrol bunk, Bengaluru Urban","Unknown persons loaded 11 cattle belonging to the complainant from the grazing ground near the railway station at Gandhi Nagar, Bengaluru Urban into a lorry and transported them away. Value of the cattle is Rs 61,000.",289,Chargesheeted,Y
1144,100101001202300001,118,10,1,2,8,2,2023-02-18,06:16,2023-02-17,2023-02-18,14.238476,76.749817,"the housing board colony, Chitradurga","ದೂರುದಾರರು Camp, Chitradurga ಬಳಿ ನಡೆದುಕೊಂಡು ಹೋಗುತ್ತಿದ್ದಾಗ, ಮೋಟಾರ್ ಸೈಕಲ್‌ನಲ್ಲಿ ಬಂದ ಇಬ್ಬರು ವ್ಯಕ್ತಿಗಳು ಕೊರಳಿನಲ್ಲಿದ್ದ 8 ಗ್ರಾಂ ಚಿನ್ನದ ಸರವನ್ನು ಕಿತ್ತುಕೊಂಡು ಪರಾರಿಯಾಗಿರುತ್ತಾರೆ. ಮಾಲಿನ ಬೆಲೆ ರೂ 75,500.",709,Chargesheeted,Y
1145,100041007202400003,53,4,1,4,13,3,2024-01-13,16:59,2024-01-13,2024-01-13,13.051172,77.312672,"the college ground, Bengaluru Urban","The complainant used the ATM kiosk at the main road junction at Vinoba Nagar, Bengaluru Urban. Subsequently an amount of Rs 402,500 was withdrawn from his account in 9 transactions without his knowledge. It appears the accused installed a skimming device and captured the card data.",305,Chargesheeted,Y
1146,100251001202500001,316,25,1,4,13,3,2025-01-17,14:38,2025-01-17,2025-01-17,14.00685,75.484472,"the taluk office, Shivamogga","The complainant used the ATM kiosk at Town, Shivamogga. Subsequently an amount of Rs 308,500 was withdrawn from his account in 7 transactions without his knowledge. It appears the accused installed a skimming device and captured the card data.",1946,Chargesheeted,Y
1147,100041007202200012,53,4,1,4,13,3,2022-03-23,13:10,2022-03-22,2022-03-23,13.048544,77.308233,"the sugar factory road, Bengaluru Urban","The complainant used the ATM kiosk at the temple street at Town, Bengaluru Urban. Subsequently an amount of Rs 433,500 was withdrawn from his account in 2 transactions without his knowledge. It appears the accused installed a skimming device and captured the card data.",301,Under Investigation,Y
1148,100041007202300006,53,4,1,4,13,3,2023-02-18,18:04,2023-02-17,2023-02-18,13.034031,77.304203,"the main road junction, Bengaluru Urban","The complainant used the ATM kiosk at Shivaji Nagar, Bengaluru Urban. Subsequently an amount of Rs 301,000 was withdrawn from his account in 7 transactions without his knowledge. It appears the accused installed a skimming device and captured the card data.",301,Chargesheeted,Y
1149,300041005202600005,51,4,3,5,15,2,2026-03-02,15:19,2026-02-28,2026-03-02,12.96173,77.823204,"the petrol bunk, Bengaluru Urban","ಮಾಹಿತಿಯ ಮೇರೆಗೆ the taluk office at Cantonment, Bengaluru Urban ಬಳಿ ತಪಾಸಣೆ ನಡೆಸಿದಾಗ ಆರೋಪಿಯು 20 ಕಿಲೋ ಗಾಂಜಾವನ್ನು ಗೋಣಿಚೀಲದಲ್ಲಿ ಇಟ್ಟುಕೊಂಡಿರುವುದು ಕಂಡುಬಂದಿದ್ದು, ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",283,Chargesheeted,Y
1150,100181008202200003,235,18,1,2,6,2,2022-06-20,02:43,2022-06-17,2022-06-20,12.36752,75.454843,"the college ground, Kodagu","Unknown accused broke the shutter lock of the shop of the complainant situated at Cantonment, Kodagu during night hours and committed theft of cash from the counter and goods worth Rs 381,000.",1444,Closed False,Y
1151,100181008202300003,235,18,1,2,9,1,2023-08-15,03:20,2023-08-14,2023-08-15,12.319891,75.520251,"the railway station, Kodagu","The complainant was travelling in his car near Extension, Kodagu when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 136,500.",1444,Chargesheeted,Y
1152,100181008202300004,235,18,1,2,9,1,2023-07-10,02:17,2023-07-10,2023-07-10,12.377805,75.532985,"the bus stand, Kodagu","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near Cantonment, Kodagu at about 07.00 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 295,500.",1444,Chargesheeted,Y
1153,100181008202200004,235,18,1,2,9,1,2022-11-22,02:11,2022-11-19,2022-11-22,12.464284,75.495631,"the bus stand, Kodagu","The complainant was travelling in his car near Women, Kodagu when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 436,500.",1444,Chargesheeted,Y
1154,100181008202300005,235,18,1,2,9,1,2023-05-14,00:44,2023-05-13,2023-05-14,12.320735,75.476054,"the sugar factory road, Kodagu","Market, Kodagu ಬಳಿ ಹೆದ್ದಾರಿಯಲ್ಲಿ ಐದಾರು ಜನರ ಗುಂಪು ಮಾರಕಾಯುಧಗಳೊಂದಿಗೆ ದೂರುದಾರರ ವಾಹನವನ್ನು ತಡೆದು ಬೆದರಿಸಿ ರೂ 11,000 ಮೌಲ್ಯದ ನಗದು ಮತ್ತು ಸರಕನ್ನು ದೋಚಿಕೊಂಡು ಹೋಗಿರುತ್ತಾರೆ.",1444,Chargesheeted,Y
1155,100041005202400008,51,4,1,1,3,4,2024-08-06,16:58,2024-08-05,2024-08-06,12.973035,77.826563,"the sugar factory road, Bengaluru Urban","Rural, Bengaluru Urban ಬಳಿ ದೂರುದಾರರು ಮತ್ತು ಆರೋಪಿಯ ನಡುವೆ grazing of cattle ವಿಚಾರವಾಗಿ ಜಗಳ ನಡೆದಿದೆ. ಆರೋಪಿಯು ಅವಾಚ್ಯ ಶಬ್ದಗಳಿಂದ ನಿಂದಿಸಿ ದೊಣ್ಣೆಯಿಂದ ಹಲ್ಲೆ ಮಾಡಿ ಗಾಯಗೊಳಿಸಿರುತ್ತಾನೆ.",283,Chargesheeted,Y
1156,100181008202200005,235,18,1,2,9,1,2022-12-10,22:03,2022-12-07,2022-12-10,12.473755,75.443076,"the housing board colony, Kodagu","The complainant was travelling in his car near the main road junction at Traffic, Kodagu when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 201,000.",1444,Chargesheeted,Y
1157,100221005202300001,285,22,1,2,8,3,2023-05-30,20:48,2023-05-29,2023-05-30,12.120147,76.76,"the railway station, Mysuru","The complainant was speaking on his mobile phone standing near the bus stand at Kote, Mysuru when an unknown person snatched the handset from his hand and ran towards the railway gate. The phone is a Samsung Galaxy M valued at Rs 194,500.",1774,Closed NC,Y
1158,100181008202200006,235,18,1,2,9,1,2022-06-21,01:44,2022-06-19,2022-06-21,12.415975,75.399167,"the government hospital, Kodagu","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the taluk office at Extension, Kodagu at about 21.45 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 403,500.",1444,Closed False,Y
1159,300041005202300005,51,4,3,5,16,3,2023-09-29,00:02,2023-09-29,2023-09-29,13.068013,77.924199,"the vegetable market, Bengaluru Urban","The accused was found illegally extracting and transporting minor mineral from the river bed near the vegetable market at Rural, Bengaluru Urban using a Ashok Leyland lorry. No royalty receipt or transport permit was produced.",287,Chargesheeted,Y
1160,100041005202300006,51,4,1,1,3,4,2023-11-10,20:32,2023-11-08,2023-11-10,13.013477,77.941144,"the taluk office, Bengaluru Urban","On 10.00 hours near the APMC yard at Extension, Bengaluru Urban the accused picked up a quarrel with the complainant regarding supply of water to a field, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",283,Chargesheeted,Y
1161,100041004202100001,49,4,1,2,6,2,2021-11-17,04:48,2021-11-15,2021-11-17,13.085932,77.556796,"the railway station, Bengaluru Urban","The complainant had locked the house at Bazaar, Bengaluru Urban and gone to his native place. On return he found the rear door broken open. Unknown accused entered the house during night hours, broke open the almirah and committed theft of gold ornaments and cash totalling Rs 338,500.",273,Chargesheeted,Y
1162,100111001202400001,134,11,1,1,1,1,2024-01-29,23:39,2024-01-27,2024-01-29,12.928805,74.800232,"the APMC yard, Dakshina Kannada","parking of a vehicle ವಿಚಾರವಾಗಿ ಬಹುದಿನಗಳ ವೈಷಮ್ಯದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಆರೋಪಿಯು the main road junction at Traffic, Dakshina Kannada ಬಳಿ ಮೃತರನ್ನು ತಡೆದು ಮಾರಕಾಯುಧದಿಂದ ಹಲ್ಲೆ ಮಾಡಿ ಸಾವಿಗೆ ಕಾರಣನಾಗಿರುತ್ತಾನೆ.",804,Chargesheeted,Y
1163,100201012202400001,264,20,1,2,6,2,2024-04-26,01:15,2024-04-25,2024-04-26,15.653374,76.11685,"the sugar factory road, Koppal","During the intervening night unknown persons removed the window grill of the house situated at Gandhi Nagar, Koppal, entered inside and committed theft of gold ornaments weighing 40 grams and cash. Total property value Rs 402,500.",1635,Chargesheeted,Y
1164,100201012202400002,264,20,1,2,6,2,2024-03-24,23:20,2024-03-24,2024-03-24,15.548698,76.084812,"the college ground, Koppal","The complainant had locked the house at the college ground at Bazaar, Koppal and gone to his native place. On return he found the rear door broken open. Unknown accused entered the house during night hours, broke open the almirah and committed theft of gold ornaments and cash totalling Rs 132,500.",1643,Closed NC,Y
1165,100201012202400003,264,20,1,2,6,2,2024-04-03,00:39,2024-04-03,2024-04-03,15.523242,76.146997,"the railway station, Koppal","Accused persons gained entry into the locked house at the main road junction at Rural, Koppal by breaking the latch of the back door using an iron rod, ransacked the bedroom and took away valuables worth Rs 264,000.",1642,Chargesheeted,Y
1166,100041003202300008,48,4,1,1,3,4,2023-08-21,21:17,2023-08-21,2023-08-21,12.794717,77.31096,"the APMC yard, Bengaluru Urban","The accused, in furtherance of an old dispute over a previous quarrel between the families, waylaid the complainant near the vegetable market at Rural, Bengaluru Urban, obstructed his path and beat him with a stick causing a fracture.",268,Chargesheeted,Y
1167,100041003202300009,48,4,1,1,3,4,2023-03-27,18:36,2023-03-26,2023-03-27,12.716886,77.285019,"the sugar factory road, Bengaluru Urban","There was a quarrel between the complainant and the accused over a share in ancestral property near the bus stand at Traffic, Bengaluru Urban. The accused abused the complainant in filthy language, restrained him and assaulted him with a wooden club causing bleeding injury on the head.",266,Chargesheeted,Y
1168,100231003202300001,298,23,1,4,13,3,2023-04-24,12:46,2023-04-23,2023-04-24,16.210161,77.75895,"the college ground, Raichur","Unknown accused obtained the card details of the complainant and made online transactions totalling Rs 135,000. The complainant had used his card last at Industrial Area, Raichur.",1855,Chargesheeted,Y
1169,100231003202200001,298,23,1,4,13,3,2022-06-14,13:29,2022-06-14,2022-06-14,16.30296,77.739656,"the railway station, Raichur","ದೂರುದಾರರು the taluk office at Town, Raichur ನಲ್ಲಿನ ಎಟಿಎಂ ಬಳಸಿದ್ದು, ನಂತರ ಅವರ ಖಾತೆಯಿಂದ ರೂ 262,000 ಹಣ ಅವರ ಅರಿವಿಲ್ಲದೆ ವರ್ಗಾವಣೆಯಾಗಿರುತ್ತದೆ.",1856,Closed False,Y
1170,100231003202300002,298,23,1,1,1,1,2023-12-28,00:13,2023-12-27,2023-12-28,16.174145,77.693011,"the railway station, Raichur","The deceased was found lying in a pool of blood near the college ground at Cantonment, Raichur. Investigation reveals that the accused, over a dispute regarding a wage payment, stabbed the deceased with a knife causing fatal injuries.",1849,Chargesheeted,Y
1171,300171006202300003,218,17,3,5,14,3,2023-10-27,21:28,2023-10-24,2023-10-27,17.59451,76.706741,"the railway station, Kalaburagi","During patrolling near the main road junction at Cantonment, Kalaburagi the accused was found in possession of 3 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA58SB6943 were seized under panchanama.",1333,Chargesheeted,Y
1172,100061001202500001,72,6,1,2,5,3,2025-12-13,01:51,2025-12-11,2025-12-13,17.707961,77.233821,"the housing board colony, Bidar","The complainant parked his Ashok Leyland lorry near the sugar factory road at Women, Bidar and went inside. At about 17.30 hours he found the vehicle had been stolen. The handle lock was found broken and lying at the spot. Value of the vehicle is Rs 364,500.",412,Chargesheeted,Y
1173,100301010202600002,392,30,1,2,5,3,2026-05-28,22:43,2026-05-28,2026-05-28,16.496882,77.182768,"the APMC yard, Yadgir","During night hours unknown persons committed theft of a Tata Ace goods vehicle bearing number KA66JN6937 parked in the open compound of Basaveshwara Nagar, Yadgir. Accused appears to have used a duplicate key. Property value Rs 156,500.",2432,Chargesheeted,Y
1174,100041003202400006,48,4,1,4,12,2,2024-09-05,16:24,2024-09-05,2024-09-05,12.785812,77.341806,"the main road junction, Bengaluru Urban","The accused induced the complainant to invest in a chit scheme operated from the petrol bunk at Industrial Area, Bengaluru Urban, collected Rs 109,500 in instalments and failed to pay the prize amount on maturity, thereby cheating the complainant.",268,Under Investigation,Y
1175,100261001202200001,328,26,1,1,3,4,2022-01-07,21:49,2022-01-07,2022-01-07,13.324706,76.941874,"the APMC yard, Tumakuru","On 05.00 hours near Extension, Tumakuru the accused picked up a quarrel with the complainant regarding parking of a vehicle, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",2022,Chargesheeted,Y
1176,100041004202500003,49,4,1,2,9,1,2025-03-29,22:46,2025-03-28,2025-03-29,13.121366,77.498808,"the temple street, Bengaluru Urban","The complainant was travelling in his car near Extension, Bengaluru Urban when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 381,500.",273,Closed NC,Y
1177,100041004202500004,49,4,1,2,9,1,2025-09-22,01:51,2025-09-21,2025-09-22,13.168686,77.468691,"the railway station, Bengaluru Urban","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near Halli, Bengaluru Urban at about 21.15 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 284,500.",280,Chargesheeted,Y
1178,100041004202500005,49,4,1,2,9,1,2025-08-02,22:14,2025-08-01,2025-08-02,13.188821,77.48135,"the government hospital, Bengaluru Urban","The complainant was travelling in his car near the bus stand at Vidya Nagar, Bengaluru Urban when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 438,500.",275,Chargesheeted,Y
1179,100041004202600004,49,4,1,2,9,1,2026-01-07,01:11,2026-01-05,2026-01-07,13.128028,77.541747,"the sugar factory road, Bengaluru Urban","The complainant was travelling in his car near the railway station at Kote, Bengaluru Urban when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 410,000.",273,Closed False,Y
1180,100041004202500006,49,4,1,2,9,1,2025-04-25,01:53,2025-04-25,2025-04-25,13.107515,77.580543,"the APMC yard, Bengaluru Urban","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the APMC yard at Gandhi Nagar, Bengaluru Urban at about 03.15 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 341,000.",273,Closed False,Y
1181,100041004202500007,49,4,1,2,9,1,2025-09-27,02:34,2025-09-26,2025-09-27,13.108409,77.494585,"the bus stand, Bengaluru Urban","The complainant was travelling in his car near the government hospital at Extension, Bengaluru Urban when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 414,500.",274,Chargesheeted,Y
1182,100041004202500008,49,4,1,2,9,1,2025-04-15,00:42,2025-04-15,2025-04-15,13.149087,77.42384,"the temple street, Bengaluru Urban","A gang of five to six persons armed with long weapons stopped the goods vehicle of the complainant on the highway near the taluk office at Cantonment, Bengaluru Urban at about 20.30 hours, threatened the driver and cleaner and took away cash and the consignment valued at Rs 260,500.",276,Closed False,Y
1183,100291013202400001,378,29,1,2,8,2,2024-02-26,09:20,2024-02-25,2024-02-26,16.577547,76.060549,"the railway station, Vijayapura","Two unknown persons on a black motorcycle approached the complainant near the housing board colony at Women, Vijayapura at 11.45 hours, snatched her gold chain and fled. The complainant sustained minor abrasion on the neck. Property value Rs 296,500.",2344,Chargesheeted,Y
1184,100271001202400001,337,27,1,1,3,4,2024-05-31,21:24,2024-05-31,2024-05-31,12.96252,75.053602,"the government hospital, Udupi","On 03.30 hours near Vinoba Nagar, Udupi the accused picked up a quarrel with the complainant regarding parking of a vehicle, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",2078,Chargesheeted,Y
1185,100271001202600001,337,27,1,1,3,4,2026-03-16,17:05,2026-03-16,2026-03-16,13.008293,75.04457,"the bus stand, Udupi","On 12.15 hours near Extension, Udupi the accused picked up a quarrel with the complainant regarding a share in ancestral property, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",2078,Chargesheeted,Y
1186,100271001202500001,337,27,1,1,3,4,2025-07-12,18:40,2025-07-12,2025-07-12,13.024339,75.106847,"the main road junction, Udupi","On 10.15 hours near Vinoba Nagar, Udupi the accused picked up a quarrel with the complainant regarding a previous quarrel between the families, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",2079,Chargesheeted,Y
1187,100271001202500002,337,27,1,1,3,4,2025-04-16,21:20,2025-04-15,2025-04-16,13.002194,75.008502,"the railway station, Udupi","the housing board colony at Women, Udupi ಬಳಿ ದೂರುದಾರರು ಮತ್ತು ಆರೋಪಿಯ ನಡುವೆ a village festival collection ವಿಚಾರವಾಗಿ ಜಗಳ ನಡೆದಿದೆ. ಆರೋಪಿಯು ಅವಾಚ್ಯ ಶಬ್ದಗಳಿಂದ ನಿಂದಿಸಿ ದೊಣ್ಣೆಯಿಂದ ಹಲ್ಲೆ ಮಾಡಿ ಗಾಯಗೊಳಿಸಿರುತ್ತಾನೆ.",2079,Chargesheeted,Y
1188,100271001202400002,337,27,1,1,3,4,2024-01-26,18:00,2024-01-26,2024-01-26,12.997293,74.960733,"the housing board colony, Udupi","The accused, in furtherance of an old dispute over supply of water to a field, waylaid the complainant near Jayanagar, Udupi, obstructed his path and beat him with a stick causing a fracture.",2077,Chargesheeted,Y
1189,100271001202600002,337,27,1,1,3,4,2026-03-31,22:02,2026-03-31,2026-03-31,13.038431,75.005979,"the petrol bunk, Udupi","The accused, in furtherance of an old dispute over parking of a vehicle, waylaid the complainant near the temple street at Cantonment, Udupi, obstructed his path and beat him with a stick causing a fracture.",2079,Chargesheeted,Y
1190,100131006202500001,164,13,1,4,13,3,2025-04-16,20:21,2025-04-15,2025-04-16,15.495645,74.858491,"the taluk office, Dharwad","The complainant used the ATM kiosk at the government hospital at Bazaar, Dharwad. Subsequently an amount of Rs 369,000 was withdrawn from his account in 10 transactions without his knowledge. It appears the accused installed a skimming device and captured the card data.",994,Under Investigation,Y
1191,100221004202500001,284,22,1,4,13,3,2025-03-15,13:56,2025-03-14,2025-03-15,12.56567,76.878236,"the government hospital, Mysuru","ದೂರುದಾರರು the bus stand at Camp, Mysuru ನಲ್ಲಿನ ಎಟಿಎಂ ಬಳಸಿದ್ದು, ನಂತರ ಅವರ ಖಾತೆಯಿಂದ ರೂ 150,000 ಹಣ ಅವರ ಅರಿವಿಲ್ಲದೆ ವರ್ಗಾವಣೆಯಾಗಿರುತ್ತದೆ.",1767,Chargesheeted,Y
1192,300281011202100001,361,28,3,5,14,3,2021-06-16,21:02,2021-06-15,2021-06-16,14.606559,73.902984,"the railway station, Uttara Kannada","During patrolling near the college ground at Industrial Area, Uttara Kannada the accused was found in possession of 12 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA48JY3622 were seized under panchanama.",2239,Chargesheeted,Y
1193,300281011202100002,361,28,3,5,14,3,2021-05-26,01:01,2021-05-23,2021-05-26,14.63155,73.918309,"the temple street, Uttara Kannada","ಖಚಿತ ಮಾಹಿತಿಯ ಮೇರೆಗೆ Gandhi Nagar, Uttara Kannada ಬಳಿ ದಾಳಿ ನಡೆಸಲಾಯಿತು. ಆರೋಪಿಯು ಪರವಾನಗಿ ಇಲ್ಲದೆ 5 ಪೆಟ್ಟಿಗೆ ಮದ್ಯವನ್ನು ಸಾಗಿಸುತ್ತಿದ್ದು, ರೂ 215,000 ಮೌಲ್ಯದ ಮಾಲನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",2239,Chargesheeted,Y
1194,300281011202300001,361,28,3,5,14,3,2023-03-02,22:57,2023-03-01,2023-03-02,14.576527,73.844258,"the bus stand, Uttara Kannada","On credible information a raid was conducted near the college ground at Rural, Uttara Kannada at about 11.00 hours. The accused was found transporting 3 boxes of Indian made liquor without a valid permit in a Hero Splendor motorcycle. Contraband valued at Rs 370,500 was seized.",2239,Chargesheeted,Y
1195,100281011202200001,361,28,1,4,13,3,2022-11-29,09:28,2022-11-29,2022-11-29,14.640988,73.856628,"the railway station, Uttara Kannada","The complainant used the ATM kiosk at the sugar factory road at Women, Uttara Kannada. Subsequently an amount of Rs 432,500 was withdrawn from his account in 9 transactions without his knowledge. It appears the accused installed a skimming device and captured the card data.",2239,Under Investigation,Y
1196,300281011202200002,361,28,3,5,14,3,2022-10-22,22:02,2022-10-19,2022-10-22,14.661448,73.980221,"the main road junction, Uttara Kannada","ಖಚಿತ ಮಾಹಿತಿಯ ಮೇರೆಗೆ Ring Road, Uttara Kannada ಬಳಿ ದಾಳಿ ನಡೆಸಲಾಯಿತು. ಆರೋಪಿಯು ಪರವಾನಗಿ ಇಲ್ಲದೆ 5 ಪೆಟ್ಟಿಗೆ ಮದ್ಯವನ್ನು ಸಾಗಿಸುತ್ತಿದ್ದು, ರೂ 289,000 ಮೌಲ್ಯದ ಮಾಲನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",2239,Chargesheeted,Y
1197,300281011202200003,361,28,3,5,14,3,2022-01-29,00:46,2022-01-28,2022-01-29,14.698236,73.970083,"the APMC yard, Uttara Kannada","ಖಚಿತ ಮಾಹಿತಿಯ ಮೇರೆಗೆ Market, Uttara Kannada ಬಳಿ ದಾಳಿ ನಡೆಸಲಾಯಿತು. ಆರೋಪಿಯು ಪರವಾನಗಿ ಇಲ್ಲದೆ 10 ಪೆಟ್ಟಿಗೆ ಮದ್ಯವನ್ನು ಸಾಗಿಸುತ್ತಿದ್ದು, ರೂ 93,500 ಮೌಲ್ಯದ ಮಾಲನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",2239,Chargesheeted,Y
1198,300281011202100003,361,28,3,5,14,3,2021-12-26,21:48,2021-12-24,2021-12-26,14.692304,73.870635,"the taluk office, Uttara Kannada","During patrolling near Basaveshwara Nagar, Uttara Kannada the accused was found in possession of 9 litres of illicitly distilled arrack kept for sale. The contraband and the vehicle bearing number KA14XG6042 were seized under panchanama.",2239,Chargesheeted,Y
1199,300281011202200004,361,28,3,5,14,3,2022-05-17,23:46,2022-05-16,2022-05-17,14.556601,73.838935,"the railway station, Uttara Kannada","ಖಚಿತ ಮಾಹಿತಿಯ ಮೇರೆಗೆ the housing board colony at Ring Road, Uttara Kannada ಬಳಿ ದಾಳಿ ನಡೆಸಲಾಯಿತು. ಆರೋಪಿಯು ಪರವಾನಗಿ ಇಲ್ಲದೆ 5 ಪೆಟ್ಟಿಗೆ ಮದ್ಯವನ್ನು ಸಾಗಿಸುತ್ತಿದ್ದು, ರೂ 384,000 ಮೌಲ್ಯದ ಮಾಲನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ.",2239,Closed False,Y
1200,300221001202300001,280,22,3,5,16,3,2023-05-15,05:41,2023-05-15,2023-05-15,12.618108,76.328558,"the college ground, Mysuru","During night patrolling near the river bed at the government hospital at Rural, Mysuru a Ashok Leyland lorry bearing registration KA64TA4199 was found transporting sand without a valid permit. The vehicle and 10 units of sand valued at Rs 41,500 were seized.",1732,Chargesheeted,Y
1201,100201006202500001,257,20,1,1,3,4,2025-07-20,20:27,2025-07-20,2025-07-20,15.377616,76.284566,"the APMC yard, Koppal","On 18.00 hours near the government hospital at Basaveshwara Nagar, Koppal the accused picked up a quarrel with the complainant regarding supply of water to a field, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",1586,Closed NC,Y
1202,300081002202500001,94,8,3,5,14,3,2025-02-20,22:18,2025-02-20,2025-02-20,13.761054,77.662029,"the temple street, Chikkaballapur","On credible information a raid was conducted near Basaveshwara Nagar, Chikkaballapur at about 13.30 hours. The accused was found transporting 3 boxes of Indian made liquor without a valid permit in a auto rickshaw. Contraband valued at Rs 76,000 was seized.",559,Chargesheeted,Y
1203,100261003202200001,330,26,1,1,3,4,2022-08-09,21:16,2022-08-09,2022-08-09,13.311337,76.74628,"the temple street, Tumakuru","The accused, in furtherance of an old dispute over flow of drain water, waylaid the complainant near Town, Tumakuru, obstructed his path and beat him with a stick causing a fracture.",2041,Chargesheeted,Y
1204,100261003202200002,330,26,1,1,3,4,2022-06-18,18:43,2022-06-18,2022-06-18,13.257785,76.862228,"the government hospital, Tumakuru","On 13.30 hours near Camp, Tumakuru the accused picked up a quarrel with the complainant regarding a wage payment, caught hold of his collar and assaulted him with hands and a soda bottle causing injuries.",2039,Chargesheeted,Y
1205,100261002202400002,329,26,1,2,9,1,2024-08-15,01:25,2024-08-12,2024-08-15,13.392077,77.042257,"the APMC yard, Tumakuru","The complainant was travelling in his car near Ring Road, Tumakuru when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 96,000.",2025,Chargesheeted,Y
1206,300261003202200003,330,26,3,5,16,3,2022-04-11,04:29,2022-04-09,2022-04-11,13.309329,76.845362,"the taluk office, Tumakuru","During night patrolling near the river bed at the petrol bunk at Vinoba Nagar, Tumakuru a Bajaj Pulsar motorcycle bearing registration KA44WE8593 was found transporting sand without a valid permit. The vehicle and 4 units of sand valued at Rs 292,000 were seized.",2037,Chargesheeted,Y
1207,100261002202400003,329,26,1,1,1,1,2024-08-29,22:05,2024-08-26,2024-08-29,13.386457,77.000938,"the APMC yard, Tumakuru","The deceased was found lying in a pool of blood near Town, Tumakuru. Investigation reveals that the accused, over a dispute regarding grazing of cattle, stabbed the deceased with a knife causing fatal injuries.",2026,Chargesheeted,Y
1208,100171002202400001,213,17,1,2,9,1,2024-07-27,02:13,2024-07-24,2024-07-27,16.93824,77.135256,"the housing board colony, Kalaburagi","The complainant was travelling in his car near the vegetable market at Traffic, Kalaburagi when a group of unknown persons blocked the road with a tempo, assaulted the occupants and robbed cash, ornaments and mobile phones worth Rs 297,000.",1302,Chargesheeted,Y
